Unnamed: 0,RubroN3,FechaCreacion,cantidad,totalLineaNeto,mes_año_x,PIB,IPC,IMACEC
517,Bebidas y comidas infantiles,2013-02-28,14762.0,26752757.718427237,2013-02,43591.2289898859,2.1,91.596476733005
646,Café y té,2013-02-28,39697.6,84699810.15163217,2013-02,43591.2289898859,2.1,91.596476733005
781,Carnes procesadas y preparadas,2013-02-28,96631.0319,289686825.9848072,2013-02,43591.2289898859,2.1,91.596476733005
916,Carnes y aves de corral,2013-02-28,534434.8645,1309434105.5830112,2013-02,43591.2289898859,2.1,91.596476733005
1044,Cereales,2013-02-28,1105710.216,78669483.27986304,2013-02,43591.2289898859,2.1,91.596476733005
1171,Cereales procesados,2013-02-28,34189.0,11507680.9529,2013-02,43591.2289898859,2.1,91.596476733005
1298,"Empanadas, tartas y pies",2013-02-28,30566.5,19806378.4481056,2013-02,43591.2289898859,2.1,91.596476733005
1424,Ensaladas preparadas,2013-02-28,950.0,529929.04,2013-02,43591.2289898859,2.1,91.596476733005
1559,Frutas,2013-02-28,366619.5701130981,268639417.9029423,2013-02,43591.2289898859,2.1,91.596476733005
1687,Frutos secos,2013-02-28,20296.0,6485830.368161,2013-02,43591.2289898859,2.1,91.596476733005
1814,Grasas y aceites animales comestibles,2013-02-28,1720.4699,2968412.5734915,2013-02,43591.2289898859,2.1,91.596476733005
1943,"Hierbas, especias y extractos",2013-02-28,143576.0,44936192.45574132,2013-02,43591.2289898859,2.1,91.596476733005
2077,Huevos y sustitutos,2013-02-28,276667.25,31549565.90468923,2013-02,43591.2289898859,2.1,91.596476733005
2218,"Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2013-02-28,88424.0,32911779.00284,2013-02,43591.2289898859,2.1,91.596476733005
2345,Legumbres,2013-02-28,25864.0,78343318.4448526,2013-02,43591.2289898859,2.1,91.596476733005
2472,Mariscos frescos,2013-02-28,14206.724,56697767.81936721,2013-02,43591.2289898859,2.1,91.596476733005
2599,Materiales y mezclas instantáneas,2013-02-28,31292.0,40939384.15,2013-02,43591.2289898859,2.1,91.596476733005
