category,createdAt,quantity,total,Rubro,Clase,mes_año_x,PIB,IPC,IVCM_alimentos
"Alimentos, bebidas y tabaco / Condimentos y preservantes / Hierbas, especias y extractos",2020-11-30 00:00:00+00:00,487012.5,51911924.92452501,"Alimentos, bebidas y tabaco","Hierbas, especias y extractos",2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Condimentos y preservantes / Salmuera, salsas y aceitunas",2020-11-30 00:00:00+00:00,471210.25,365098634.33137465,"Alimentos, bebidas y tabaco","Salmuera, salsas y aceitunas",2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Condimentos y preservantes / Salsas, condimentos y productos para untar",2020-11-30 00:00:00+00:00,192686.0,76644616.1096,"Alimentos, bebidas y tabaco","Salsas, condimentos y productos para untar",2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Condimentos y preservantes / Vinagres y vinos de cocinar",2020-11-30 00:00:00+00:00,2098.0,1458293.144,"Alimentos, bebidas y tabaco",Vinagres y vinos de cocinar,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Frutas, verduras y frutos secos / Frutas",2020-11-30 00:00:00+00:00,740215.601,967658668.3917096,"Alimentos, bebidas y tabaco",Frutas,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Frutas, verduras y frutos secos / Frutos secos",2020-11-30 00:00:00+00:00,5692.102,40793326.408091,"Alimentos, bebidas y tabaco",Frutos secos,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Frutas, verduras y frutos secos / Verduras",2020-11-30 00:00:00+00:00,2405875.427,2159669940.249946,"Alimentos, bebidas y tabaco",Verduras,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Pescados y mariscos / Mariscos frescos",2020-11-30 00:00:00+00:00,876.0,2423265.0,"Alimentos, bebidas y tabaco",Mariscos frescos,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Pescados y mariscos / Pescados",2020-11-30 00:00:00+00:00,272766.0,714393664.9546546,"Alimentos, bebidas y tabaco",Pescados,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Pescados y mariscos / Plantas acuáticas",2020-11-30 00:00:00+00:00,462.0,789773.27730168,"Alimentos, bebidas y tabaco",Plantas acuáticas,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Productos de carne y aves de corral / Carnes procesadas y preparadas",2020-11-30 00:00:00+00:00,92973.8180313,262983184.06785247,"Alimentos, bebidas y tabaco",Carnes procesadas y preparadas,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Productos de carne y aves de corral / Carnes y aves de corral",2020-11-30 00:00:00+00:00,1035252.145945,3977099139.0913982,"Alimentos, bebidas y tabaco",Carnes y aves de corral,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Productos de panadería / Pan, galletas y pastelitos dulces",2020-11-30 00:00:00+00:00,1662783.859801597,1014275550.7056832,"Alimentos, bebidas y tabaco","Pan, galletas y pastelitos dulces",2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Productos de panadería / Suministros y mezclas para hacer al horno",2020-11-30 00:00:00+00:00,59955.5,94871953.533,"Alimentos, bebidas y tabaco",Suministros y mezclas para hacer al horno,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Productos de panadería / Tartas, empanadas y pastas",2020-11-30 00:00:00+00:00,233819.0,164707144.40007833,"Alimentos, bebidas y tabaco","Tartas, empanadas y pastas",2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Productos lácteos y huevos / Huevos y sustitutos",2020-11-30 00:00:00+00:00,297275.5,306537422.523033,"Alimentos, bebidas y tabaco",Huevos y sustitutos,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Productos lácteos y huevos / Productos de leche y mantequilla",2020-11-30 00:00:00+00:00,85752974.99000001,1696823312.2554436,"Alimentos, bebidas y tabaco",Productos de leche y mantequilla,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Productos lácteos y huevos / Quesos",2020-11-30 00:00:00+00:00,160584.034,239701674.66008,"Alimentos, bebidas y tabaco",Quesos,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Tabaco, productos para fumar y substitutos / Productos, suministros y accesorios para tabaco",2020-11-30 00:00:00+00:00,12025.0,1476487.2,"Alimentos, bebidas y tabaco","Productos, suministros y accesorios para tabaco",2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Tabaco, productos para fumar y substitutos / Tabaco y substitutos",2020-11-30 00:00:00+00:00,1611.0,8075739.9,"Alimentos, bebidas y tabaco",Tabaco y substitutos,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Aceites y grasas comestibles / Aceites vegetales y grasas comestibles",2020-12-31 00:00:00+00:00,176617.0,354045027.685592,"Alimentos, bebidas y tabaco",Aceites vegetales y grasas comestibles,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Aceites y grasas comestibles / Grasas y aceites animales comestibles",2020-12-31 00:00:00+00:00,7776.0,21543458.0,"Alimentos, bebidas y tabaco",Grasas y aceites animales comestibles,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Acompañamientos preparados",2020-12-31 00:00:00+00:00,9652.0,54625314.82521,"Alimentos, bebidas y tabaco",Acompañamientos preparados,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Bebidas y comidas infantiles",2020-12-31 00:00:00+00:00,43328.0,138118402.3644568,"Alimentos, bebidas y tabaco",Bebidas y comidas infantiles,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Empanadas, tartas y pies",2020-12-31 00:00:00+00:00,54496.0,64741212.6491765,"Alimentos, bebidas y tabaco","Empanadas, tartas y pies",2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Ensaladas preparadas",2020-12-31 00:00:00+00:00,12941.0,21049725.0,"Alimentos, bebidas y tabaco",Ensaladas preparadas,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2020-12-31 00:00:00+00:00,211854.0,378865003.0047,"Alimentos, bebidas y tabaco","Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Materiales y mezclas instantáneas",2020-12-31 00:00:00+00:00,120920.0,188843189.4,"Alimentos, bebidas y tabaco",Materiales y mezclas instantáneas,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Pasta o tallarines naturales",2020-12-31 00:00:00+00:00,460786.2,474825842.7379105,"Alimentos, bebidas y tabaco",Pasta o tallarines naturales,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Platos combinados empaquetados",2020-12-31 00:00:00+00:00,10934.0,24116310.0,"Alimentos, bebidas y tabaco",Platos combinados empaquetados,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Postres y decoraciones",2020-12-31 00:00:00+00:00,859698.0,289094227.26287115,"Alimentos, bebidas y tabaco",Postres y decoraciones,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Sandwiches y panecillos con relleno",2020-12-31 00:00:00+00:00,213814.0,280540663.0,"Alimentos, bebidas y tabaco",Sandwiches y panecillos con relleno,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Sopas y estofados",2020-12-31 00:00:00+00:00,72499.0,37353858.0,"Alimentos, bebidas y tabaco",Sopas y estofados,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Tentempiés",2020-12-31 00:00:00+00:00,176456.0,109180686.4079,"Alimentos, bebidas y tabaco",Tentempiés,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Bebidas / Bebidas alcohólicas",2020-12-31 00:00:00+00:00,3287.0,17318775.0,"Alimentos, bebidas y tabaco",Bebidas alcohólicas,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Bebidas / Bebidas no alcohólicas",2020-12-31 00:00:00+00:00,3112218.0011,1442879545.4425871,"Alimentos, bebidas y tabaco",Bebidas no alcohólicas,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Bebidas / Café y té",2020-12-31 00:00:00+00:00,169131.0,381106013.043912,"Alimentos, bebidas y tabaco",Café y té,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Cereales y Legumbres / Cereales",2020-12-31 00:00:00+00:00,526525.0,821339531.9255124,"Alimentos, bebidas y tabaco",Cereales,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Cereales y Legumbres / Cereales procesados",2020-12-31 00:00:00+00:00,187061.8015,101621712.78528,"Alimentos, bebidas y tabaco",Cereales procesados,2020-12,42145.390546874,0.3,116.5187392004
